end,Revenues,CapEx,R&D,Ticker,Sector,CapEx_intensity,R&D_intensity,US_Total_CapEx_Millions
2011-09-30,,105000000.0,734000000.0,AMD,semiconductor,,,3976618.0
2011-12-31,,163000000.0,1095000000.0,AMD,semiconductor,,,4178714.0
2012-03-31,,40000000.0,368000000.0,AMD,semiconductor,,,4266694.0
2012-06-30,,79000000.0,713000000.0,AMD,semiconductor,,,4331791.0
2012-09-30,,111000000.0,328000000.0,AMD,semiconductor,,,4339022.0
2012-12-31,,111000000.0,328000000.0,AMD,semiconductor,,,4345134.0
2013-03-31,,20000000.0,312000000.0,AMD,semiconductor,,,4455945.0
2013-06-30,,48000000.0,308000000.0,AMD,semiconductor,,,4488030.0
2013-09-30,,63000000.0,288000000.0,AMD,semiconductor,,,4609098.0
2013-12-31,,63000000.0,288000000.0,AMD,semiconductor,,,4656154.0
2014-03-31,,21000000.0,279000000.0,AMD,semiconductor,,,4634194.0
2014-06-30,,44000000.0,277000000.0,AMD,semiconductor,,,4818825.0
2014-09-30,,73000000.0,278000000.0,AMD,semiconductor,,,4921976.0
2014-12-31,,73000000.0,278000000.0,AMD,semiconductor,,,4972633.0
2015-03-31,,22000000.0,242000000.0,AMD,semiconductor,,,5081280.0
2015-06-30,,39000000.0,235000000.0,AMD,semiconductor,,,5133740.0
2015-09-30,,64000000.0,241000000.0,AMD,semiconductor,,,5159649.0
2015-12-31,,64000000.0,241000000.0,AMD,semiconductor,,,5129514.0
2016-03-31,,26000000.0,242000000.0,AMD,semiconductor,,,5125028.0
2016-06-30,,47000000.0,243000000.0,AMD,semiconductor,,,5131559.0
2016-09-30,,56000000.0,259000000.0,AMD,semiconductor,,,5165786.0
2016-12-31,,56000000.0,259000000.0,AMD,semiconductor,,,5282608.0
2017-03-31,,56000000.0,259000000.0,AMD,semiconductor,,,5294668.0
2017-06-30,,23000000.0,271000000.0,AMD,semiconductor,,,5384584.0
